epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-21,85,AC,Acrelândia,1200013,city,181,1186.41846,0,2,0,0.011,15256,True,False
26,2020-06-21,52,AC,Assis Brasil,1200054,city,139,1874.07308,0,5,0,0.036,7417,True,False
26,2020-06-21,44,AC,Brasiléia,1200104,city,236,898.08966,0,6,0,0.0254,26278,True,False
26,2020-06-21,75,AC,Bujari,1200138,city,132,1285.79778,4,1,0,0.0076,10266,True,False
26,2020-06-21,45,AC,Capixaba,1200179,city,117,997.18742,5,4,1,0.0342,11733,True,False
26,2020-06-21,70,AC,Cruzeiro do Sul,1200203,city,1861,2105.77532,0,28,0,0.015,88376,True,False
26,2020-06-21,46,AC,Epitaciolândia,1200252,city,133,722.39422,0,6,0,0.0451,18411,True,False
26,2020-06-21,51,AC,Feijó,1200302,city,144,414.03105,0,4,0,0.0278,34780,True,False
26,2020-06-21,35,AC,Jordão,1200328,city,27,324.63629,0,0,0,0.0,8317,True,False
26,2020-06-21,54,AC,Mâncio Lima,1200336,city,113,595.45766,0,2,0,0.0177,18977,True,False
26,2020-06-21,40,AC,Manoel Urbano,1200344,city,44,465.16545,0,0,0,0.0,9459,True,False
26,2020-06-21,41,AC,Marechal Thaumaturgo,1200351,city,128,678.43324,0,0,0,0.0,18867,True,False
26,2020-06-21,77,AC,Plácido de Castro,1200385,city,254,1285.36005,9,6,0,0.0236,19761,True,False
26,2020-06-21,85,AC,Porto Acre,1200807,city,201,1086.25162,13,6,0,0.0299,18504,True,False
26,2020-06-21,40,AC,Porto Walter,1200393,city,47,392.25505,0,0,0,0.0,11982,True,False
26,2020-06-21,97,AC,Rio Branco,1200401,city,5985,1469.36431,80,214,2,0.0358,407319,True,False
26,2020-06-21,41,AC,Rodrigues Alves,1200427,city,82,433.17485,3,4,0,0.0488,18930,True,False
